SHEET: Supporting 6.1

A1    | t=s          | F:  | V: 1. μ = W/Ws
J20   | t=           | F:  | V: 122.58945890109284
A21   | t=           | F:  | V: 6
B21   | t=           | F:  | V: 103.62242021546973
C21   | t=           | F:  | V: 122.58945890109284
D21   | t=           | F:  | V: 215.53586343752679
E21   | t=           | F:  | V: 115.25196765959662
F21   | t=           | F: 'Supporting 6'!$A$7/(0.62198*D21/('Psychrometric Chart'!$C$6-D21)) | V: -3.215817785164098E-3
G21   | t=           | F: 'Supporting 6'!$A$7/(0.62198*E21/('Psychrometric Chart'!$C$6-E21)) | V: -7.3335081668188164E-4
H21   | t=           | F: F21/(1-(1-F21)*(D21/'Psychrometric Chart'!$C$6))-('Psychrometric Chart'!$C$12/100) | V: 2.8357826753428067E-3
I21   | t=           | F: G21/(1-(1-G21)*(E21/'Psychrometric Chart'!$C$6))-('Psychrometric Chart'!$C$12/100) | V: 5.3032749016176861E-3
J21   | t=           | F:  | V: 144.3874605865721
A22   | t=           | F:  | V: 7
B22   | t=           | F:  | V: 122.58945890109284
C22   | t=           | F:  | V: 144.3874605865721
D22   | t=           | F:  | V: 408.75032771124546
E22   | t=           | F:  | V: 215.53586343752679
F22   | t=           | F: 'Supporting 6'!$A$7/(0.62198*D22/('Psychrometric Chart'!$C$6-D22)) | V: -4.5644146682978746E-3
G22   | t=           | F: 'Supporting 6'!$A$7/(0.62198*E22/('Psychrometric Chart'!$C$6-E22)) | V: -3.215817785164098E-3
H22   | t=           | F: F22/(1-(1-F22)*(D22/'Psychrometric Chart'!$C$6))-('Psychrometric Chart'!$C$12/100) | V: 1.4953208010220168E-3
I22   | t=           | F: G22/(1-(1-G22)*(E22/'Psychrometric Chart'!$C$6))-('Psychrometric Chart'!$C$12/100) | V: 2.8357826753428067E-3
J22   | t=           | F:  | V: 168.70371005657361
A23   | t=           | F:  | V: 8
B23   | t=           | F:  | V: 144.3874605865721
C23   | t=           | F:  | V: 168.70371005657361
D23   | t=           | F:  | V: 767.72091778057165
E23   | t=           | F:  | V: 408.75032771124546
F23   | t=           | F: 'Supporting 6'!$A$7/(0.62198*D23/('Psychrometric Chart'!$C$6-D23)) | V: -5.267839273052354E-3
G23   | t=           | F: 'Supporting 6'!$A$7/(0.62198*E23/('Psychrometric Chart'!$C$6-E23)) | V: -4.5644146682978746E-3
H23   | t=           | F: F23/(1-(1-F23)*(D23/'Psychrometric Chart'!$C$6))-('Psychrometric Chart'!$C$12/100) | V: 7.9613939557380523E-4
I23   | t=           | F: G23/(1-(1-G23)*(E23/'Psychrometric Chart'!$C$6))-('Psychrometric Chart'!$C$12/100) | V: 1.4953208010220168E-3
J23   | t=           | F:  | V: 196.39198094709974
A24   | t=           | F:  | V: 9
B24   | t=           | F:  | V: 168.70371005657361
C24   | t=           | F:  | V: 196.39198094709974
D24   | t=           | F:  | V: 1441.1102921178522
E24   | t=           | F:  | V: 767.72091778057165
F24   | t=           | F: 'Supporting 6'!$A$7/(0.62198*D24/('Psychrometric Chart'!$C$6-D24)) | V: -5.6421099817450691E-3
G24   | t=           | F: 'Supporting 6'!$A$7/(0.62198*E24/('Psychrometric Chart'!$C$6-E24)) | V: -5.267839273052354E-3
H24   | t=           | F: F24/(1-(1-F24)*(D24/'Psychrometric Chart'!$C$6))-('Psychrometric Chart'!$C$12/100) | V: 4.2412636339787314E-4
I24   | t=           | F: G24/(1-(1-G24)*(E24/'Psychrometric Chart'!$C$6))-('Psychrometric Chart'!$C$12/100) | V: 7.9613939557380523E-4
J24   | t=           | F:  | V: 227.9589547514486
A25   | t=           | F:  | V: 10
B25   | t=           | F:  | V: 196.39198094709974
C25   | t=           | F:  | V: 227.9589547514486
D25   | t=           | F:  | V: 2694.6920957018583
E25   | t=           | F:  | V: 1441.1102921178522
F25   | t=           | F: 'Supporting 6'!$A$7/(0.62198*D25/('Psychrometric Chart'!$C$6-D25)) | V: -5.8406127122915584E-3
G25   | t=           | F: 'Supporting 6'!$A$7/(0.62198*E25/('Psychrometric Chart'!$C$6-E25)) | V: -5.6421099817450691E-3
H25   | t=           | F: F25/(1-(1-F25)*(D25/'Psychrometric Chart'!$C$6))-('Psychrometric Chart'!$C$12/100) | V: 2.2682104141920345E-4
I25   | t=           | F: G25/(1-(1-G25)*(E25/'Psychrometric Chart'!$C$6))-('Psychrometric Chart'!$C$12/100) | V: 4.2412636339787314E-4
J25   | t=           | F:  | V: 264.24816277154036
A26   | t=           | F:  | V: 11
B26   | t=           | F:  | V: 227.9589547514486
C26   | t=           | F:  | V: 264.24816277154036
D26   | t=           | F:  | V: 5028.0525444170589
E26   | t=           | F:  | V: 2694.6920957018583
F26   | t=           | F: 'Supporting 6'!$A$7/(0.62198*D26/('Psychrometric Chart'!$C$6-D26)) | V: -5.9465120027162068E-3
G26   | t=           | F: 'Supporting 6'!$A$7/(0.62198*E26/('Psychrometric Chart'!$C$6-E26)) | V: -5.8406127122915584E-3
H26   | t=           | F: F26/(1-(1-F26)*(D26/'Psychrometric Chart'!$C$6))-('Psychrometric Chart'!$C$12/100) | V: 1.2156055690584554E-4
I26   | t=           | F: G26/(1-(1-G26)*(E26/'Psychrometric Chart'!$C$6))-('Psychrometric Chart'!$C$12/100) | V: 2.2682104141920345E-4
J26   | t=           | F:  | V: 306.15692233111298
A27   | t=           | F:  | V: 12
B27   | t=           | F:  | V: 264.24816277154036
C27   | t=           | F:  | V: 306.15692233111298
D27   | t=           | F:  | V: 9363.2648223456508
E27   | t=           | F:  | V: 5028.0525444170589
F27   | t=           | F: 'Supporting 6'!$A$7/(0.62198*D27/('Psychrometric Chart'!$C$6-D27)) | V: -6.0031363785265964E-3
G27   | t=           | F: 'Supporting 6'!$A$7/(0.62198*E27/('Psychrometric Chart'!$C$6-E27)) | V: -5.9465120027162068E-3
H27   | t=           | F: F27/(1-(1-F27)*(D27/'Psychrometric Chart'!$C$6))-('Psychrometric Chart'!$C$12/100) | V: 6.5277750768355638E-5
I27   | t=           | F: G27/(1-(1-G27)*(E27/'Psychrometric Chart'!$C$6))-('Psychrometric Chart'!$C$12/100) | V: 1.2156055690584554E-4
J27   | t=           | F:  | V: 354.76341069379021
A29   | t=s          | F:  | V: 1. Pws(T)=EXP(-5800.2206/(273.15+T)+1.3914993-0.048640239*(273.15+T)+0.000041764768*POWER((273.15+T),2)-0.000000014452093*POWER((273.15+T),3)+6.5459673*LN(273.15+T))/1000

A30   | t=s          | F:  | V: 2. Ws(T)=0.62198*(Pws(T)/(P-Pws(T))
A31   | t=s          | F:  | V:     Ws(T)=0.62198*(EXP(-5800.2206/(273.15+T)+1.3914993-0.048640239*(273.15+T)+0.000041764768*POWER((273.15+T),2)-0.000000014452093*POWER((273.15+T),3)+6.5459673*LN(273.15+T))/1000/(P-EXP(-5800.2206/(273.15+T)+1.3914993-0.048640239*(273.15+T)+0.00004176476
A33   | t=s          | F:  | V: 3. F(T)=((2501-2.381*T)*Ws(T)-(t-T))/(2501+1.805*t-4.186*T)-W
A34   | t=s          | F:  | V:     F(T)=((2501-2.381*T)*(0.62198*(EXP(-5800.2206/(273.15+T)+1.3914993-0.048640239*(273.15+T)+0.000041764768*POWER((273.15+T),2)-0.000000014452093*POWER((273.15+T),3)+6.5459673*LN(273.15+T))/1000/(P-EXP(-5800.2206/(273.15+T)+1.3914993-0.048640239*(273.15+
A36   | t=s          | F:  | V: ! T = Wet bulb temperature
A37   | t=s          | F:  | V: ! P =  Pressure (Psychrometric chart B3)
A38   | t=s          | F:  | V: ! W= Humidity ratio (Supporting 6 A7)
A39   | t=s          | F:  | V: BY SECANT METHOD:
A40   | t=s          | F:  | V: k
B40   | t=s          | F:  | V: Tk-1
C40   | t=s          | F:  | V: Tk
D40   | t=s          | F:  | V: Pws(Tk)
E40   | t=s          | F:  | V: Pws(Tk-1)
F40   | t=s          | F:  | V: Ws(TK)
G40   | t=s          | F:  | V: Ws(TK-1)
H40   | t=s          | F:  | V: F(TK)
I40   | t=s          | F:  | V: F(TK-1)
J40   | t=s          | F:  | V: Tk+1
A41   | t=           | F:  | V: 1
B41   | t=           | F:  | V: 0
C41   | t=           | F:  | V: 50
D41   | t=           | F: EXP(-5800.2206/(273.15+C41)+1.3914993-0.048640239*(273.15+C41)+0.000041764768*POWER((273.15+C41),2)-0.000000014452093*POWER((273.15+C41),3)+6.5459673*LN(273.15+C41))/1000 | V: 12.349856466723748
E41   | t=           | F: EXP(-5800.2206/(273.15+B41)+1.3914993-0.048640239*(273.15+B41)+0.000041764768*POWER((273.15+B41),2)-0.000000014452093*POWER((273.15+B41),3)+6.5459673*LN(273.15+B41))/1000 | V: 0.6112128674511893
F41   | t=           | F: 0.62198*(D41/('Psychrometric Chart'!$C$6-D41)) | V: 8.6331568797076971E-2
G41   | t=           | F: 0.62198*(E41/('Psychrometric Chart'!$C$6-E41)) | V: 3.7746786226692235E-3
H41   | t=           | F: ((2501-2.381*C41)*F41-('Supporting 6'!$A$10-C41))/(2501+1.805*'Supporting 6'!$A$10-4.186*C41)-'Supporting 6'!$A$7 | V: 0.10777459933526483
I41   | t=           | F: ((2501-2.381*E41)*G41-('Supporting 6'!$A$10-E41))/(2501+1.805*'Supporting 6'!$A$10-4.186*E41)-'Supporting 6'!$A$7 | V: 2.4630444623222275E-4
J41   | t=           | F: C41-(C41-B41)*H41/(H41-I41) | V: -0.11453006229030649
A42   | t=           | F:  | V: 2
B42   | t=           | F: C41 | V: 50
C42   | t=           | F: J41:J41 | V: -0.11453006229030649
D42   | t=           | F:  | V: 0.60614625495533403
E42   | t=           | F:  | V: 12.349856466723748
F42   | t=           | F: 0.62198*(D42/('Psychrometric Chart'!$C$6-D42)) | V: 3.7432003407372716E-3
G42   | t=           | F: 0.62198*(E42/('Psychrometric Chart'!$C$6-E42)) | V: 8.6331568797076971E-2
H42   | t=           | F: ((2501-2.381*C42)*F42-('Supporting 6'!$A$10-C42))/(2501+1.805*'Supporting 6'!$A$10-4.186*C42)-'Supporting 6'!$A$7 | V: -7.7572557553446699E-5
I42   | t=           | F: ((2501-2.381*E42)*G42-('Supporting 6'!$A$10-E42))/(2501+1.805*'Supporting 6'!$A$10-4.186*E42)-'Supporting 6'!$A$7 | V: 8.8384798330356798E-2
J42   | t=           | F:  | V: -7.0584684967707076E-2
A43   | t=           | F:  | V: 3
B43   | t=           | F:  | V: -0.11453006229030649
C43   | t=           | F:  | V: -7.0584684967707076E-2
D43   | t=           | F:  | V: 0.60808590122695338
E43   | t=           | F:  | V: 0.60614625495533403
F43   | t=           | F: 0.62198*(D43/('Psychrometric Chart'!$C$6-D43)) | V: 3.7552507662637767E-3
G43   | t=           | F: 0.62198*(E43/('Psychrometric Chart'!$C$6-E43)) | V: 3.7432003407372716E-3
H43   | t=           | F: ((2501-2.381*C43)*F43-('Supporting 6'!$A$10-C43))/(2501+1.805*'Supporting 6'!$A$10-4.186*C43)-'Supporting 6'!$A$7 | V: -4.7838384051400624E-5
I43   | t=           | F: ((2501-2.381*E43)*G43-('Supporting 6'!$A$10-E43))/(2501+1.805*'Supporting 6'!$A$10-4.186*E43)-'Supporting 6'!$A$7 | V: 2.1276858028681763E-4
J43   | t=           | F:  | V: -7.8651529393682848E-2
A44   | t=           | F:  | V: 4
B44   | t=           | F:  | V: -7.0584684967707076E-2
C44   | t=           | F:  | V: -7.8651529393682848E-2
D44   | t=           | F:  | V: 0.60772943761114362
E44   | t=           | F:  | V: 0.60808590122695338
F44   | t=           | F: 0.62198*(D44/('Psychrometric Chart'!$C$6-D44)) | V: 3.7530361326782724E-3
G44   | t=           | F: 0.62198*(E44/('Psychrometric Chart'!$C$6-E44)) | V: 3.7552507662637767E-3
H44   | t=           | F: ((2501-2.381*C44)*F44-('Supporting 6'!$A$10-C44))/(2501+1.805*'Supporting 6'!$A$10-4.186*C44)-'Supporting 6'!$A$7 | V: -5.3299391386972886E-5
I44   | t=           | F: ((2501-2.381*E44)*G44-('Supporting 6'!$A$10-E44))/(2501+1.805*'Supporting 6'!$A$10-4.186*E44)-'Supporting 6'!$A$7 | V: 2.2560667715993592E-4
J44   | t=           | F:  | V: -7.7109942648876717E-2
A45   | t=           | F:  | V: 5
B45   | t=           | F:  | V: -7.8651529393682848E-2
C45   | t=           | F:  | V: -7.7109942648876717E-2
D45   | t=           | F:  | V: 0.60779754404498465
E45   | t=           | F:  | V: 0.60772943761114362
F45   | t=           | F: 0.62198*(D45/('Psychrometric Chart'!$C$6-D45)) | V: 3.7534592624375225E-3
G45   | t=           | F: 0.62198*(E45/('Psychrometric Chart'!$C$6-E45)) | V: 3.7530361326782724E-3
H45   | t=           | F: ((2501-2.381*C45)*F45-('Supporting 6'!$A$10-C45))/(2501+1.805*'Supporting 6'!$A$10-4.186*C45)-'Supporting 6'!$A$7 | V: -5.2255883225499431E-5
I45   | t=           | F: ((2501-2.381*E45)*G45-('Supporting 6'!$A$10-E45))/(2501+1.805*'Supporting 6'!$A$10-4.186*E45)-'Supporting 6'!$A$7 | V: 2.2324728426038236E-4
J45   | t=           | F:  | V: -7.740234210712503E-2
A46   | t=           | F:  | V: 6
B46   | t=           | F:  | V: -7.7109942648876717E-2
C46   | t=           | F:  | V: -7.740234210712503E-2
D46   | t=           | F:  | V: 0.60778462548147427
E46   | t=           | F:  | V: 0.60779754404498465
F46   | t=           | F: 0.62198*(D46/('Psychrometric Chart'!$C$6-D46)) | V: 3.7533790023012189E-3
G46   | t=           | F: 0.62198*(E46/('Psychrometric Chart'!$C$6-E46)) | V: 3.7534592624375225E-3
H46   | t=           | F: ((2501-2.381*C46)*F46-('Supporting 6'!$A$10-C46))/(2501+1.805*'Supporting 6'!$A$10-4.186*C46)-'Supporting 6'!$A$7 | V: -5.2453813547924822E-5
I46   | t=           | F: ((2501-2.381*E46)*G46-('Supporting 6'!$A$10-E46))/(2501+1.805*'Supporting 6'!$A$10-4.186*E46)-'Supporting 6'!$A$7 | V: 2.2369807183331624E-4
J46   | t=           | F:  | V: -7.7346802139895407E-2
A47   | t=           | F:  | V: 7
B47   | t=           | F:  | V: -7.740234210712503E-2
C47   | t=           | F:  | V: -7.7346802139895407E-2
D47   | t=           | F:  | V: 0.6077870792860014
E47   | t=           | F:  | V: 0.60778462548147427
F47   | t=           | F: 0.62198*(D47/('Psychrometric Chart'!$C$6-D47)) | V: 3.7533942472365543E-3
G47   | t=           | F: 0.62198*(E47/('Psychrometric Chart'!$C$6-E47)) | V: 3.7533790023012189E-3
H47   | t=           | F: ((2501-2.381*C47)*F47-('Supporting 6'!$A$10-C47))/(2501+1.805*'Supporting 6'!$A$10-4.186*C47)-'Supporting 6'!$A$7 | V: -5.2416217699322552E-5
I47   | t=           | F: ((2501-2.381*E47)*G47-('Supporting 6'!$A$10-E47))/(2501+1.805*'Supporting 6'!$A$10-4.186*E47)-'Supporting 6'!$A$7 | V: 2.2361256550432933E-4
J47   | t=           | F:  | V: -7.7357348848030458E-2
A48   | t=           | F:  | V: 8
B48   | t=           | F:  | V: -7.7346802139895407E-2
C48   | t=           | F:  | V: -7.7357348848030458E-2
D48   | t=           | F:  | V: 0.60778661332249717
E48   | t=           | F:  | V: 0.6077870792860014
F48   | t=           | F: 0.62198*(D48/('Psychrometric Chart'!$C$6-D48)) | V: 3.7533913523101043E-3
G48   | t=           | F: 0.62198*(E48/('Psychrometric Chart'!$C$6-E48)) | V: 3.7533942472365543E-3
H48   | t=           | F: ((2501-2.381*C48)*F48-('Supporting 6'!$A$10-C48))/(2501+1.805*'Supporting 6'!$A$10-4.186*C48)-'Supporting 6'!$A$7 | V: -5.2423356931153263E-5
I48   | t=           | F: ((2501-2.381*E48)*G48-('Supporting 6'!$A$10-E48))/(2501+1.805*'Supporting 6'!$A$10-4.186*E48)-'Supporting 6'!$A$7 | V: 2.2362880692272007E-4
