SHEET: Supporting 5.1

E17   | t=           | F: ((2501-2.381*'Psychrometric Chart'!$C$10)*'Supproting 5'!$A$7-(B17-'Psychrometric Chart'!$C$10))/(2501+1.805*B17-4.186*'Psychrometric Chart'!$C$10)-'Supproting 5'!$A$15 | V: 0
F17   | t=e          | F:  | V: #DIV/0!
A18   | t=           | F:  | V: 9
B18   | t=e          | F:  | V: #DIV/0!
C18   | t=e          | F:  | V: #DIV/0!
D18   | t=e          | F: ((2501-2.381*'Psychrometric Chart'!$C$10)*'Supproting 5'!$A$7-(C18-'Psychrometric Chart'!$C$10))/(2501+1.805*C18-4.186*'Psychrometric Chart'!$C$10)-'Supproting 5'!$A$15 | V: #DIV/0!
E18   | t=e          | F: ((2501-2.381*'Psychrometric Chart'!$C$10)*'Supproting 5'!$A$7-(B18-'Psychrometric Chart'!$C$10))/(2501+1.805*B18-4.186*'Psychrometric Chart'!$C$10)-'Supproting 5'!$A$15 | V: #DIV/0!
F18   | t=e          | F:  | V: #DIV/0!
A19   | t=           | F:  | V: 10
B19   | t=e          | F:  | V: #DIV/0!
C19   | t=e          | F:  | V: #DIV/0!
D19   | t=e          | F: ((2501-2.381*'Psychrometric Chart'!$C$10)*'Supproting 5'!$A$7-(C19-'Psychrometric Chart'!$C$10))/(2501+1.805*C19-4.186*'Psychrometric Chart'!$C$10)-'Supproting 5'!$A$15 | V: #DIV/0!
E19   | t=e          | F: ((2501-2.381*'Psychrometric Chart'!$C$10)*'Supproting 5'!$A$7-(B19-'Psychrometric Chart'!$C$10))/(2501+1.805*B19-4.186*'Psychrometric Chart'!$C$10)-'Supproting 5'!$A$15 | V: #DIV/0!
F19   | t=e          | F:  | V: #DIV/0!
A20   | t=           | F:  | V: 11
B20   | t=e          | F:  | V: #DIV/0!
C20   | t=e          | F:  | V: #DIV/0!
D20   | t=e          | F: ((2501-2.381*'Psychrometric Chart'!$C$10)*'Supproting 5'!$A$7-(C20-'Psychrometric Chart'!$C$10))/(2501+1.805*C20-4.186*'Psychrometric Chart'!$C$10)-'Supproting 5'!$A$15 | V: #DIV/0!
E20   | t=e          | F: ((2501-2.381*'Psychrometric Chart'!$C$10)*'Supproting 5'!$A$7-(B20-'Psychrometric Chart'!$C$10))/(2501+1.805*B20-4.186*'Psychrometric Chart'!$C$10)-'Supproting 5'!$A$15 | V: #DIV/0!
F20   | t=e          | F:  | V: #DIV/0!
A21   | t=           | F:  | V: 12
B21   | t=e          | F:  | V: #DIV/0!
C21   | t=e          | F:  | V: #DIV/0!
D21   | t=e          | F: ((2501-2.381*'Psychrometric Chart'!$C$10)*'Supproting 5'!$A$7-(C21-'Psychrometric Chart'!$C$10))/(2501+1.805*C21-4.186*'Psychrometric Chart'!$C$10)-'Supproting 5'!$A$15 | V: #DIV/0!
E21   | t=e          | F: ((2501-2.381*'Psychrometric Chart'!$C$10)*'Supproting 5'!$A$7-(B21-'Psychrometric Chart'!$C$10))/(2501+1.805*B21-4.186*'Psychrometric Chart'!$C$10)-'Supproting 5'!$A$15 | V: #DIV/0!
F21   | t=e          | F:  | V: #DIV/0!
A24   | t=s          | F:  | V: BY SECANT METHOD:
A25   | t=s          | F:  | V: k
B25   | t=s          | F:  | V: tk-1
C25   | t=s          | F:  | V: tk
D25   | t=s          | F:  | V: F(tK)
E25   | t=s          | F:  | V: F(tK-1)
F25   | t=s          | F:  | V: tk+1
A26   | t=           | F:  | V: 1
B26   | t=           | F:  | V: 0
C26   | t=           | F:  | V: 50
D26   | t=           | F: ((2501-2.381*'Psychrometric Chart'!$D$10)*'Supproting 5'!$C$7-(C26-'Psychrometric Chart'!$D$10))/(2501+1.805*C26-4.186*'Psychrometric Chart'!$D$10)-'Supproting 5'!$C$15 | V: -1.2397501805955774E-2
E26   | t=           | F: ((2501-2.381*'Psychrometric Chart'!$D$10)*'Supproting 5'!$C$7-(B26-'Psychrometric Chart'!$D$10))/(2501+1.805*B26-4.186*'Psychrometric Chart'!$D$10)-'Supproting 5'!$C$15 | V: 7.6047341236244407E-3
F26   | t=           | F: C26-(C26-B26)*D26/(D26-E26) | V: 19.009710090405978
A27   | t=           | F:  | V: 2
